,Females ,Males ,Total
Barnstable ,7,8,15
Bourne ,6,4,10
Dennis ,0,1,1
Falmouth ,1,5,6
Mashpee ,1,0,1
Orleans ,0,1,1
Sandwich ,1,3,4
Yarmouth ,1,4,5
Total ,17,26,43
