,Female,%
Essex County,148,23%
Middlesex County,144,22%
Plymouth County,86,13%
Suffolk County,82,13%
Norfolk County,54,8%
Worcester County,34,5%
Bristol County,25,4%
Barnstable County,17,3%
Hampden County,15,2%
Franklin County,5,1%
Hampshire County,3,<1%
Berkshire County,1,<1%
Outside MA,29,5%
Unknown,1,<1%
Total,644,100%
