,Males ,Total
Suffolk County ,75,33%
Essex County ,26,11%
Middlesex County ,26,11%
Worcester County ,25,11%
Bristol County ,21,9%
Hampden County ,20,9%
Plymouth County ,14,6%
Norfolk County ,10,4%
Barnstable County ,4,2%
Franklin County ,2,1%
Berkshire County ,1,<1%
Outside MA ,4,2%
Total ,228,100%
