,Male,%
Suffolk County,439,23%
Hampden County,261,14%
Worcester County,224,12%
Essex County,193,10%
Middlesex County,180,10%
Bristol County,177,9%
Plymouth County,106,6%
Norfolk County,89,5%
Berkshire County,51,3%
Barnstable County,26,1%
Franklin County,19,1%
Hampshire County,19,1%
Outside MA,106,6%
Unknown,1,<1%
Total,"1,891",100%
