City,Total,%
Boston,489,19%
Springfield,192,8%
Worcester,119,5%
Lawrence,87,3%
Brockton,85,3%
Lynn,84,3%
New Bedford,74,3%
Lowell,57,2%
Fall River,47,2%
Quincy,45,2%
Sub-Total,"1,279",50%
Other MA Cities/Towns,"1,119",44%
Outside MA,135,5%
Unknown,2,<1%
Total,"2,535",100%
