,Females ,Males ,Total
Acton ,1,3,4
Arlington ,2,3,5
Ashby ,0,1,1
Ashland ,17,0,17
Ayer ,0,2,2
Belmont ,0,1,1
Billerica ,2,7,9
Burlington ,2,1,3
Cambridge ,13,2,15
Chelmsford ,1,0,1
Concord ,0,1,1
Dracut ,2,2,4
Everett ,2,29,31
Framingham ,10,13,23
Holliston ,1,0,1
Hopkinton ,5,2,7
Hudson ,3,2,5
Lexington ,0,1,1
Littleton ,1,0,1
Lowell ,16,41,57
Malden ,6,15,21
Marlborough ,7,2,9
Maynard ,0,3,3
Medford ,5,9,14
Melrose ,3,3,6
Natick ,6,2,8
Newton ,1,1,2
North Reading ,0,1,1
Pepperell ,1,0,1
Reading ,2,0,2
Sherborn ,1,0,1
Shirley ,1,2,3
Somerville ,9,4,13
Stoneham ,2,2,4
Stow ,1,0,1
Tewksbury ,3,5,8
Tyngsborough ,3,0,3
Wakefield ,2,5,7
Waltham ,5,7,12
Watertown ,1,1,2
Wayland ,2,0,2
Westford ,3,0,3
Wilmington ,1,0,1
Woburn ,1,7,8
Total ,144,180,324
