,Females ,Males ,Total
Attleboro ,3,7,10
Berkley ,1,2,3
Dartmouth ,0,2,2
Dighton ,0,1,1
Easton ,1,1,2
Fairhaven ,1,3,4
Fall River ,2,45,47
Freetown ,0,1,1
New Bedford ,9,65,74
North Attleboro ,1,3,4
Norton ,0,7,7
Raynham ,0,3,3
Somerset ,0,2,2
Swansea ,0,1,1
Taunton ,7,28,35
Westport ,0,6,6
Total ,25,177,202
