,Females ,% ,Males ,% ,Total ,%
Hampden County ,5,50%,87,48%,92,48%
Essex County ,1,10%,28,15%,29,15%
Suffolk County ,0,0%,25,14%,25,13%
Berkshire County ,0,0%,9,5%,9,5%
Hampshire County ,0,0%,5,3%,5,3%
Bristol County ,0,0%,4,2%,4,2%
Franklin County ,1,10%,3,2%,4,2%
Plymouth County ,0,0%,4,2%,4,2%
Worcester County ,0,0%,4,2%,4,2%
Middlesex County ,0,0%,2,1%,2,1%
Barnstable County ,0,0%,1,1%,1,1%
Norfolk County ,0,0%,1,1%,1,1%
Outside MA ,3,30%,8,4%,12,6%
Unknown ,0,0%,1,1%,1,1%
Total ,10,100%,182,100%,192,100%
