,Females ,Males ,Total
Abington ,2,3,5
Bridgewater ,6,3,9
Brockton ,25,60,85
Carver ,1,1,2
Duxbury ,2,0,2
East Bridgewater ,2,3,5
Halifax ,2,0,2
Hanover ,1,0,1
Hanson ,1,0,1
Hingham ,0,1,1
Hull ,3,1,4
Kingston ,1,2,3
Lakeville ,1,0,1
Marshfield ,4,1,5
Mattapoisett ,0,1,1
Middleborough ,2,2,4
Norwell ,0,1,1
Pembroke ,3,2,5
Plymouth ,12,8,20
Rockland ,6,4,10
Scituate ,1,2,3
Wareham ,9,7,16
West Bridgewater ,0,1,1
Whitman ,2,3,5
Total,86,106,192
