County,Self-Reported Release Address Total
Suffolk,521
Essex,341
Middlesex,324
Hampden,276
Worcester,258
Bristol,202
Plymouth,192
Norfolk,143
Berkshire,52
Barnstable,43
Franklin,24
Hampshire,22
