,Males ,Total
Suffolk County ,17,18%
Worcester County ,14,15%
Bristol County ,11,12%
Plymouth County ,11,12%
Hampden County ,9,9%
Middlesex County ,8,8%
Norfolk County ,7,7%
Essex County ,4,4%
Barnstable County ,1,1%
Berkshire County ,1,1%
Franklin County ,1,1%
Outside MA ,11,12%
Total ,95,100%
