,Males ,Total
Essex County ,4,17%
Plymouth County ,4,17%
Suffolk County ,4,17%
Middlesex County ,3,13%
Worcester County ,3,13%
Bristol County ,2,9%
Norfolk County ,1,4%
Outside MA ,2,9%
Total ,23,100%
