,Male ,%
Boston ,409,22%
Springfield ,182,10%
Worcester ,111,6%
Lawrence ,65,3%
New Bedford ,65,3%
Brockton ,60,3%
Lynn ,46,2%
Fall River ,45,2%
Lowell ,41,2%
Pittsfield ,38,2%
Sub-Total ,"1,062",56%
Other MA Cities ,722,38%
Outside MA ,106,6%
Unknown ,1,<1%
Total ,"1,891",100%
