,Males ,Total
Suffolk County ,14,50%
Essex County ,3,11%
Middlesex County ,3,11%
Norfolk County ,2,7%
Plymouth County ,2,7%
Worcester County ,2,7%
Barnstable County ,1,4%
Berkshire County ,1,4%
Total ,28,100%
