,Males ,Total
Suffolk County ,35,24%
Hampden County ,26,18%
Worcester County ,19,13%
Essex County ,12,8%
Middlesex County ,12,8%
Norfolk County ,12,8%
Bristol County ,8,6%
Berkshire County ,6,4%
Plymouth County ,6,4%
Franklin County ,2,1%
Barnstable County ,1,1%
Hampshire County ,1,1%
Outside MA ,5,3%
Total ,145,100%
