,Males ,Total
Suffolk County ,14,24%
Essex County ,9,15%
Worcester County ,7,12%
Hampden County ,6,10%
Bristol County ,5,9%
Berkshire County ,4,7%
Middlesex County ,4,7%
Plymouth County ,4,7%
Barnstable County ,2,3%
Franklin County ,1,2%
Norfolk County ,1,2%
Outside MA ,2,3%
Total ,59,100%
