,Males ,Total
Hampden County ,19,20%
Worcester County ,19,20%
Suffolk County ,14,15%
Essex County ,8,8%
Middlesex County ,6,6%
Berkshire County ,5,5%
Hampshire County ,4,4%
Plymouth County ,4,4%
Bristol County ,3,3%
Barnstable County ,2,2%
Franklin County ,2,2%
Norfolk County ,1,1%
Outside MA ,9,9%
Total ,96,100%
