,Male ,%
1. Boston ,409,22%
2. Springfield ,182,10%
3. Worcester ,111,6%
4. Lawrence ,65,3%
5. New Bedford ,65,3%
6. Brockton ,60,3%
7. Lynn ,46,2%
8. Fall River ,45,2%
9. Lowell ,41,2%
10. Pittsfield ,38,2%
Sub-Total ,"1,062",56%
Other MA Cities ,722,38%
Outside MA ,106,6%
Unknown ,1,<1%
Total ,"1,891",100%
