,Female ,%
Boston ,80,12%
Lynn ,38,6%
Brockton ,25,4%
Lawrence ,22,3%
Ashland ,17,3%
Haverhill ,16,3%
Lowell ,16,3%
Quincy ,15,2%
Cambridge ,13,2%
Salisbury ,13,2%
Sub-Total ,255,40%
Other MA Cities ,359,56%
Outside MA ,29,5%
Unknown ,1,<1%
Total ,644,100%
