,Males ,Total
Hampden County ,24,18%
Essex County ,23,17%
Middlesex County ,23,17%
Worcester County ,20,15%
Suffolk County ,17,13%
Berkshire County ,4,3%
Bristol County ,4,3%
Hampshire County ,3,2%
Norfolk County ,2,2%
Franklin County ,1,1%
Outside MA ,11,8%
Total ,132,100%
