,Females ,Total
Essex County ,109,27%
Middlesex County ,86,21%
Plymouth County ,57,14%
Suffolk County ,55,14%
Norfolk County ,30,7%
Worcester County ,19,5%
Bristol County ,15,4%
Barnstable County ,10,3%
Hampden County ,6,2%
Berkshire County ,1,<1%
Franklin County ,1,<1%
Outside MA ,18,4%
Total ,407,100%
