,Males ,Total
Suffolk County ,34,26%
Worcester County ,21,16%
Bristol County ,13,10%
Middlesex County ,13,10%
Plymouth County ,11,8%
Hampden County ,9,7%
Norfolk County ,7,5%
Essex County ,5,4%
Barnstable County ,3,2%
Berkshire County ,3,2%
Hampshire County ,1,1%
Outside MA ,11,8%
Total ,131,100%
