,Males ,Total
Suffolk County ,7,28%
Bristol County ,6,24%
Middlesex County ,4,16%
Norfolk County ,3,12%
Barnstable County ,1,4%
Essex County ,1,4%
Hampshire County ,1,4%
Plymouth County ,1,4%
Outside MA ,1,4%
Total ,25,100%
