,Females ,Males ,Total
Agawam ,0,4,4
Chicopee ,0,27,27
Holland ,0,1,1
Holyoke ,3,35,38
Monson ,0,1,1
Palmer ,1,0,1
Springfield ,10,182,192
West Springfield ,0,4,4
Westfield ,1,6,7
Wilbraham ,0,1,1
Total ,15,261,276
