,Males ,Total
Bristol County ,15,22%
Plymouth County ,14,20%
Suffolk County ,13,19%
Worcester County ,7,10%
Middlesex County ,5,7%
Essex County ,3,4%
Norfolk County ,3,4%
Berkshire County ,2,3%
Barnstable County ,1,1%
Hampden County ,1,1%
Outside MA ,5,7%
Total ,69,100%
