,Males ,Total
Suffolk County ,64,25%
Worcester County ,36,14%
Hampden County ,31,12%
Bristol County ,29,11%
Essex County ,24,9%
Middlesex County ,20,8%
Norfolk County ,14,6%
Plymouth County ,8,3%
Barnstable County ,4,2%
Berkshire County ,4,2%
Franklin County ,2,1%
Hampshire County ,2,1%
Outside MA ,15,6%
Total ,253,100%
