,Males ,Total
Suffolk County ,30,22%
Bristol County ,26,19%
Worcester County ,15,11%
Middlesex County ,14,10%
Plymouth County ,12,9%
Essex County ,10,7%
Norfolk County ,9,7%
Hampden County ,6,4%
Barnstable County ,3,2%
Franklin County ,2,1%
Berkshire County ,1,1%
Hampshire County ,1,1%
Outside MA ,6,4%
Total ,135,100%
