,Males ,Total
Suffolk County ,33,26%
Bristol County ,17,13%
Worcester County ,17,13%
Hampden County ,16,12%
Essex County ,13,10%
Middlesex County ,12,9%
Plymouth County ,8,6%
Norfolk County ,4,3%
Berkshire County ,2,2%
Barnstable County ,1,1%
Hampshire County ,1,1%
Outside MA ,5,4%
Total ,129,100%
