,Females ,Males ,Total
Adams ,0,2,2
Hinsdale ,0,1,1
Lanesborough ,0,1,1
Lee ,0,2,2
North Adams ,0,3,3
Otis ,0,1,1
Peru ,0,1,1
Pittsfield ,1,38,39
Savoy ,0,1,1
West Stockbridge ,0,1,1
Total ,1,51,52
