County,2011,2012,2013,2014
Barnstable County,36,67,44,52
Berkshire County,33,30,40,43
Bristol County,156,200,189,192
Dukes County,2,2,2,0
Essex County,262,230,285,258
Franklin County,12,22,31,24
Hampden County,285,292,285,276
Hampshire county,12,20,13,22
Middlesex County,327,385,363,341
Nantucket County,0,0,1,0
Norfolk County,128,156,137,143
Plymouth County,167,221,221,202
Suffolk County,457,600,555,521
Worcester County,307,369,356,324
