,Male,Total
Suffolk County,17,17%
Essex County,15,15%
Hampden County,14,14%
Bristol County,12,12%
Plymouth County,10,10%
Middlesex County,9,9%
Worcester County,8,8%
Norfolk County,5,5%
Outside MA,8,8%
Total,98,100%
