,Female,Male,Total
Adams,0,1,1
Cheshire,0,1,1
Dalton,0,1,1
Great Barrington,0,1,1
Lanesborough,0,2,2
Lenox,0,2,2
New Marlborough,0,1,1
North Adams,0,4,4
Pittsfield,0,19,19
Windsor,0,1,1
Total,0,33,33
