,Male,Total
Suffolk County,35,27%
Bristol County,18,14%
Hampden County,15,11%
Worcester County,13,10%
Essex County,12,9%
Norfolk County,12,9%
Plymouth County,10,8%
Middlesex County,6,5%
Barnstable County,4,3%
Berkshire County,3,2%
Hampshire County,2,2%
Outside MA,2,2%
Total,132,100%
