,Male,Total
Suffolk County,28,21%
Hampden County,18,14%
Worcester County,16,12%
Bristol County,15,11%
Plymouth County,14,11%
Middlesex County,11,8%
Essex County,9,7%
Norfolk County,8,6%
Berkshire County,3,2%
Barnstable County,2,2%
Dukes County,1,1%
Franklin County,1,1%
Outside MA,7,5%
Total,133,100%
