,Female,Total
Middlesex County,102,22%
Essex County,91,19%
Worcester County,88,19%
Suffolk County,58,12%
Plymouth County,48,10%
Norfolk County,40,8%
Bristol County,21,4%
Hampden County,5,1%
Barnstable County,4,1%
Hampshire County,3,1%
Dukes County,1,0%
Franklin County,1,0%
Outside MA,11,2%
Total,473,100%
