,Male,Total
Suffolk County,12,46%
Middlesex County,3,12%
Norfolk County,3,12%
Essex County,2,8%
Hampden County,2,8%
Barnstable County,1,4%
Bristol County,1,4%
Outside MA,2,8%
Total,26,100%
