County,2011,2012,2013,2014
Barnstable,6.6,6.1,6,5.6
Berkshire,6.9,6.6,6.7,6
Bristol,8.8,8.5,8.5,6.9
Dukes,5.4,5.1,5.3,5.2
Essex,7.3,6.9,6.9,6
Franklin,6.1,5.9,5.9,5.1
Hampden,9.3,9,9.2,7.6
Hampshire,5.7,5.5,5.8,5
Middlesex,5.7,5.4,5.4,4.7
Nantucket,4.4,4,3.5,3.5
Norfolk,6.1,5.7,5.8,5.1
Plymouth,7.3,6.9,6.9,5.9
Suffolk,6.6,6.4,6.4,5.5
Worcester,7.6,7.2,7.3,6
