,Female,Male,Total
Hampden County,6,42,48
Barnstable County,0,2,2
Essex County,1,1,2
Hampshire County,0,2,2
Suffolk County,0,2,2
Bristol County,1,0,1
Franklin County,0,1,1
Middlesex County,1,0,1
Norfolk County,0,1,1
Plymouth County,0,1,1
Outside MA,1,0,1
Total,10,52,62
