,Female,Male,Total
Abington,3,0,3
Bridgewater,4,4,8
Brockton,24,52,76
Carver,3,2,5
East Bridgewater,3,1,4
Halifax,1,0,1
Hanson,2,1,3
Hingham,1,1,2
Hull,1,1,2
Kingston,1,2,3
Lakeville,1,1,2
Marion,0,1,1
Marshfield,2,2,4
Mattapoisett,0,1,1
Middleborough,2,3,5
Pembroke,3,2,5
Plymouth,9,7,16
Rochester,0,1,1
Rockland,2,1,3
Scituate,1,3,4
Wareham,3,11,14
Whitman,3,1,4
Total,69,98,167
