,Female,Total
Middlesex County,63,32%
Worcester County,29,15%
Suffolk County,24,12%
Essex County,23,12%
Plymouth County,21,11%
Bristol County,11,6%
Norfolk County,11,6%
Barnstable County,5,3%
Hampden County,3,2%
Franklin County,1,1%
Outside MA,7,4%
Total,198,100%
