,Male,Total
Worcester County,28,23%
Suffolk County,23,19%
Hampden County,20,16%
Bristol County,13,11%
Middlesex County,11,9%
Essex County,7,6%
Plymouth County,7,6%
Norfolk County,4,3%
Barnstable County,3,2%
Berkshire County,2,2%
Outside MA,4,3%
Total,122,100%
