,Male,Total
Suffolk County,63,32%
Middlesex County,34,17%
Hampden County,19,10%
Worcester County,19,10%
Essex County,18,9%
Bristol County,14,7%
Norfolk County,8,4%
Plymouth County,8,4%
Barnstable County,4,2%
Berkshire County,3,2%
Franklin County,2,1%
Outside MA,8,4%
Total,200,100%
