,Male,Total
Suffolk County,43,20%
Hampden County,42,19%
Worcester County,39,18%
Essex County,21,10%
Bristol County,15,7%
Middlesex County,15,7%
Norfolk County,10,5%
Plymouth County,9,4%
Berkshire County,5,2%
Barnstable County,3,1%
Franklin County,1,0%
Hampshire County,1,0%
Outside MA,12,6%
Total,216,100%
