,Male,Total
Hampden County,27,23%
Essex County,18,16%
Suffolk County,17,15%
Worcester County,17,15%
Berkshire County,8,7%
Middlesex County,7,6%
Norfolk County,7,6%
Plymouth County,5,4%
Bristol County,3,3%
Outside MA,7,6%
Total,116,100%
