,Male,Total
Hampden County,22,22%
Middlesex County,20,20%
Suffolk County,19,19%
Essex County,13,13%
Worcester County,12,12%
Norfolk County,4,4%
Berkshire County,2,2%
Bristol County,2,2%
Plymouth County,2,2%
Barnstable County,1,1%
Outside MA,5,5%
Total,102,100%
