areaname,Not Adjusted,Year,period,laborforce,employed,unemployed,unemployment rate
Massachusetts,0,1985,07,3110100,2980700,129300,4.2
Massachusetts,0,1985,08,3102800,2986000,116800,3.8
Massachusetts,0,1985,09,3045500,2929000,116500,3.8
Massachusetts,0,1985,10,3051000,2948600,102400,3.4
Massachusetts,0,1985,11,3058400,2953500,104900,3.4
Massachusetts,0,1985,12,3049100,2942200,107000,3.5
Massachusetts,0,1986,00,3066000,2946900,119200,3.9
Massachusetts,0,1986,01,3037500,2900200,137200,4.5
Massachusetts,0,1986,02,3021600,2887800,133800,4.4
Massachusetts,0,1986,03,3034100,2903900,130100,4.3
Massachusetts,0,1986,04,3021500,2908000,113500,3.8
Massachusetts,0,1986,05,3038300,2920900,117400,3.9
Massachusetts,0,1986,06,3113200,2983300,129900,4.2
Massachusetts,0,1986,07,3127000,2999800,127200,4.1
Massachusetts,0,1986,08,3123200,3005400,117700,3.8
Massachusetts,0,1986,09,3060200,2941100,119100,3.9
Massachusetts,0,1986,10,3071700,2969600,102100,3.3
Massachusetts,0,1986,11,3078200,2975500,102700,3.3
Massachusetts,0,1986,12,3065900,2966800,99100,3.2
Massachusetts,0,1987,00,3094300,2994000,100300,3.2
Massachusetts,0,1987,01,3055000,2922300,132700,4.3
Massachusetts,0,1987,02,3054900,2928000,126900,4.2
Massachusetts,0,1987,03,3061900,2939400,122500,4.0
Massachusetts,0,1987,04,3052300,2950900,101400,3.3
Massachusetts,0,1987,05,3073800,2975800,98100,3.2
Massachusetts,0,1987,06,3131300,3026100,105200,3.4
Massachusetts,0,1987,07,3150200,3046900,103300,3.3
Massachusetts,0,1987,08,3148900,3059600,89300,2.8
Massachusetts,0,1987,09,3081500,2992300,89200,2.9
Massachusetts,0,1987,10,3100600,3025000,75600,2.4
Massachusetts,0,1987,11,3113300,3035000,78300,2.5
Massachusetts,0,1987,12,3108000,3026600,81500,2.6
Massachusetts,0,1988,00,3141400,3038800,102600,3.3
Massachusetts,0,1988,01,3103600,2983900,119700,3.9
Massachusetts,0,1988,02,3101400,2986300,115100,3.7
Massachusetts,0,1988,03,3105800,2994400,111300,3.6
Massachusetts,0,1988,04,3104900,3011600,93300,3.0
Massachusetts,0,1988,05,3109600,3015200,94300,3.0
Massachusetts,0,1988,06,3188900,3080800,108200,3.4
Massachusetts,0,1988,07,3202100,3092000,110100,3.4
Massachusetts,0,1988,08,3196200,3096800,99400,3.1
Massachusetts,0,1988,09,3131500,3030700,100800,3.2
Massachusetts,0,1988,10,3144500,3057300,87200,2.8
Massachusetts,0,1988,11,3159600,3065700,93800,3.0
Massachusetts,0,1988,12,3149200,3051200,98000,3.1
Massachusetts,0,1989,00,3176000,3044200,131800,4.2
Massachusetts,0,1989,01,3145600,3011200,134400,4.3
Massachusetts,0,1989,02,3133800,3006800,127000,4.1
Massachusetts,0,1989,03,3147100,3020000,127100,4.0
Massachusetts,0,1989,04,3142200,3025800,116400,3.7
Massachusetts,0,1989,05,3152200,3034200,118000,3.7
Massachusetts,0,1989,06,3225900,3088800,137100,4.2
Massachusetts,0,1989,07,3242900,3101900,141000,4.3
Massachusetts,0,1989,08,3235200,3101000,134200,4.1
Massachusetts,0,1989,09,3157600,3018900,138700,4.4
Massachusetts,0,1989,10,3173500,3044800,128700,4.1
Massachusetts,0,1989,11,3187000,3048900,138100,4.3
Massachusetts,0,1989,12,3169000,3027800,141200,4.5
Massachusetts,0,1990,00,3206400,3004500,201900,6.3
Massachusetts,0,1990,01,3177400,2994000,183400,5.8
Massachusetts,0,1990,02,3176000,2991500,184400,5.8
Massachusetts,0,1990,03,3189000,3001500,187500,5.9
Massachusetts,0,1990,04,3176800,2997700,179100,5.6
Massachusetts,0,1990,05,3192700,3009300,183400,5.7
Massachusetts,0,1990,06,3258300,3058400,199900,6.1
Massachusetts,0,1990,07,3270400,3058600,211900,6.5
Massachusetts,0,1990,08,3258200,3048700,209500,6.4
Massachusetts,0,1990,09,3187200,2970300,216900,6.8
Massachusetts,0,1990,10,3196400,2988200,208300,6.5
Massachusetts,0,1990,11,3201800,2977400,224400,7.0
Massachusetts,0,1990,12,3192200,2958000,234300,7.3
Massachusetts,0,1991,00,3194900,2919500,275400,8.6
Massachusetts,0,1991,01,3170300,2894200,276100,8.7
Massachusetts,0,1991,02,3167400,2888400,279000,8.8
Massachusetts,0,1991,03,3175600,2894200,281400,8.9
Massachusetts,0,1991,04,3172500,2909100,263400,8.3
Massachusetts,0,1991,05,3173600,2901000,272600,8.6
Massachusetts,0,1991,06,3253600,2963100,290600,8.9
Massachusetts,0,1991,07,3261300,2970200,291200,8.9
Massachusetts,0,1991,08,3240400,2959700,280700,8.7
Massachusetts,0,1991,09,3184200,2904300,279900,8.8
Massachusetts,0,1991,10,3184800,2921800,263000,8.3
Massachusetts,0,1991,11,3186200,2922100,264200,8.3
Massachusetts,0,1991,12,3169400,2905900,263500,8.3
Massachusetts,0,1992,00,3181000,2912000,269000,8.5
Massachusetts,0,1992,01,3156800,2860600,296200,9.4
Massachusetts,0,1992,02,3147700,2857500,290200,9.2
Massachusetts,0,1992,03,3157900,2875200,282700,9.0
Massachusetts,0,1992,04,3145900,2883500,262300,8.3
Massachusetts,0,1992,05,3158600,2893700,264900,8.4
Massachusetts,0,1992,06,3238900,2952400,286500,8.8
Massachusetts,0,1992,07,3248100,2966500,281600,8.7
Massachusetts,0,1992,08,3234300,2967400,266800,8.3
Massachusetts,0,1992,09,3167700,2900700,267000,8.4
Massachusetts,0,1992,10,3164100,2921800,242300,7.7
Massachusetts,0,1992,11,3179400,2934400,245000,7.7
Massachusetts,0,1992,12,3172900,2930500,242400,7.6
Massachusetts,0,1993,00,3174300,2952600,221700,7.0
Massachusetts,0,1993,01,3147000,2877100,269900,8.6
Massachusetts,0,1993,02,3147100,2887900,259200,8.2
Massachusetts,0,1993,03,3152300,2906200,246100,7.8
Massachusetts,0,1993,04,3134500,2913300,221200,7.1
Massachusetts,0,1993,05,3156100,2938600,217500,6.9
Massachusetts,0,1993,06,3225900,2997000,228900,7.1
Massachusetts,0,1993,07,3231100,3007300,223800,6.9
Massachusetts,0,1993,08,3223000,3013800,209200,6.5
Massachusetts,0,1993,09,3151400,2942800,208600,6.6
Massachusetts,0,1993,10,3167200,2973500,193700,6.1
Massachusetts,0,1993,11,3180700,2988900,191800,6.0
Massachusetts,0,1993,12,3175500,2984600,190800,6.0
Massachusetts,0,1994,00,3200800,3007400,193500,6.0
Massachusetts,0,1994,01,3168000,2937700,230300,7.3
Massachusetts,0,1994,02,3165300,2946500,218800,6.9
Massachusetts,0,1994,03,3165100,2953500,211600,6.7
Massachusetts,0,1994,04,3155700,2964300,191300,6.1
Massachusetts,0,1994,05,3175700,2991300,184400,5.8
Massachusetts,0,1994,06,3239100,3039800,199200,6.2
Massachusetts,0,1994,07,3249600,3050600,199000,6.1
Massachusetts,0,1994,08,3251500,3063300,188200,5.8
Massachusetts,0,1994,09,3191200,3005200,186100,5.8
Massachusetts,0,1994,10,3211600,3039700,172000,5.4
Massachusetts,0,1994,11,3223700,3051900,171800,5.3
Massachusetts,0,1994,12,3213500,3044500,169000,5.3
Massachusetts,0,1995,00,3214700,3044700,170000,5.3
Massachusetts,0,1995,01,3192500,2989200,203400,6.4
Massachusetts,0,1995,02,3188600,2999600,189000,5.9
Massachusetts,0,1995,03,3193000,3011900,181100,5.7
Massachusetts,0,1995,04,3187800,3018300,169400,5.3
Massachusetts,0,1995,05,3188300,3023700,164600,5.2
Massachusetts,0,1995,06,3256200,3078200,178000,5.5
Massachusetts,0,1995,07,3274600,3095000,179600,5.5
Massachusetts,0,1995,08,3258600,3093000,165600,5.1
Massachusetts,0,1995,09,3197100,3031600,165400,5.2
Massachusetts,0,1995,10,3215200,3066800,148400,4.6
Massachusetts,0,1995,11,3218900,3070400,148500,4.6
Massachusetts,0,1995,12,3205100,3058600,146500,4.6
Massachusetts,0,1996,00,3241400,3097600,143800,4.4
Massachusetts,0,1996,01,3187300,3005900,181400,5.7
Massachusetts,0,1996,02,3190600,3024500,166100,5.2
Massachusetts,0,1996,03,3205700,3046100,159700,5.0
Massachusetts,0,1996,04,3194800,3052800,141900,4.4
Massachusetts,0,1996,05,3216600,3074900,141800,4.4
Massachusetts,0,1996,06,3283400,3134300,149100,4.5
Massachusetts,0,1996,07,3305400,3155000,150400,4.6
Massachusetts,0,1996,08,3289400,3158100,131200,4.0
Massachusetts,0,1996,09,3235600,3100400,135300,4.2
Massachusetts,0,1996,10,3257200,3137900,119300,3.7
Massachusetts,0,1996,11,3267100,3142700,124400,3.8
Massachusetts,0,1996,12,3263200,3138200,125000,3.8
Massachusetts,0,1997,00,3305700,3176100,129500,3.9
Massachusetts,0,1997,01,3255100,3094000,161100,4.9
Massachusetts,0,1997,02,3254700,3105600,149100,4.6
Massachusetts,0,1997,03,3281900,3136400,145400,4.4
Massachusetts,0,1997,04,3268800,3142700,126000,3.9
Massachusetts,0,1997,05,3288300,3162500,125700,3.8
Massachusetts,0,1997,06,3352900,3212200,140700,4.2
Massachusetts,0,1997,07,3364900,3228300,136600,4.1
Massachusetts,0,1997,08,3355500,3231400,124100,3.7
Massachusetts,0,1997,09,3289300,3164100,125100,3.8
Massachusetts,0,1997,10,3306400,3200600,105800,3.2
Massachusetts,0,1997,11,3326900,3220500,106400,3.2
Massachusetts,0,1997,12,3323300,3215100,108200,3.3
Massachusetts,0,1998,00,3340600,3230400,110200,3.3
Massachusetts,0,1998,01,3305000,3166000,139000,4.2
Massachusetts,0,1998,02,3304400,3175600,128800,3.9
Massachusetts,0,1998,03,3319300,3192300,126900,3.8
Massachusetts,0,1998,04,3302900,3202600,100400,3.0
Massachusetts,0,1998,05,3321500,3217500,104100,3.1
Massachusetts,0,1998,06,3382600,3264700,117900,3.5
Massachusetts,0,1998,07,3390100,3275500,114600,3.4
Massachusetts,0,1998,08,3377500,3276400,101100,3.0
Massachusetts,0,1998,09,3329400,3221800,107600,3.2
Massachusetts,0,1998,10,3343200,3250400,92800,2.8
Massachusetts,0,1998,11,3355100,3261700,93300,2.8
Massachusetts,0,1998,12,3356600,3260800,95800,2.9
Massachusetts,0,1999,00,3353900,3247000,106900,3.2
Massachusetts,0,1999,01,3344000,3213800,130100,3.9
Massachusetts,0,1999,02,3335900,3214400,121500,3.6
Massachusetts,0,1999,03,3343100,3228000,115000,3.4
Massachusetts,0,1999,04,3327300,3225000,102300,3.1
Massachusetts,0,1999,05,3342700,3241900,100800,3.0
Massachusetts,0,1999,06,3406000,3289300,116700,3.4
Massachusetts,0,1999,07,3406800,3289000,117700,3.5
Massachusetts,0,1999,08,3389000,3286100,102900,3.0
Massachusetts,0,1999,09,3323100,3218200,104900,3.2
Massachusetts,0,1999,10,3337100,3247500,89500,2.7
Massachusetts,0,1999,11,3348200,3257600,90500,2.7
Massachusetts,0,1999,12,3343500,3253300,90200,2.7
Massachusetts,0,2000,00,3330200,3240200,89900,2.7
Massachusetts,0,2000,01,3329900,3208500,121400,3.6
Massachusetts,0,2000,02,3324800,3213800,111000,3.3
Massachusetts,0,2000,03,3322500,3220200,102200,3.1
Massachusetts,0,2000,04,3310400,3229400,81000,2.4
Massachusetts,0,2000,05,3299400,3218000,81400,2.5
Massachusetts,0,2000,06,3368100,3273500,94600,2.8
Massachusetts,0,2000,07,3361300,3266500,94800,2.8
Massachusetts,0,2000,08,3355500,3272300,83200,2.5
Massachusetts,0,2000,09,3296900,3213700,83200,2.5
Massachusetts,0,2000,10,3318900,3248900,70000,2.1
Massachusetts,0,2000,11,3332400,3256400,76000,2.3
Massachusetts,0,2000,12,3342000,3261700,80300,2.4
Massachusetts,0,2001,00,3381300,3255100,126200,3.7
Massachusetts,0,2001,01,3343300,3220500,122800,3.7
Massachusetts,0,2001,02,3346900,3228800,118200,3.5
Massachusetts,0,2001,03,3366600,3244800,121700,3.6
Massachusetts,0,2001,04,3349900,3241400,108600,3.2
Massachusetts,0,2001,05,3354400,3244700,109700,3.3
Massachusetts,0,2001,06,3419700,3289400,130300,3.8
Massachusetts,0,2001,07,3432100,3299300,132700,3.9
Massachusetts,0,2001,08,3414200,3285200,129000,3.8
Massachusetts,0,2001,09,3371900,3238400,133500,4.0
Massachusetts,0,2001,10,3384500,3257700,126800,3.7
Massachusetts,0,2001,11,3394200,3257600,136600,4.0
Massachusetts,0,2001,12,3397700,3253800,143900,4.2
Massachusetts,0,2002,00,3431100,3250100,181000,5.3
Massachusetts,0,2002,01,3384300,3198800,185500,5.5
Massachusetts,0,2002,02,3403300,3223900,179400,5.3
Massachusetts,0,2002,03,3408700,3228100,180600,5.3
Massachusetts,0,2002,04,3402700,3231100,171600,5.0
Massachusetts,0,2002,05,3410900,3241100,169900,5.0
Massachusetts,0,2002,06,3477000,3284500,192500,5.5
Massachusetts,0,2002,07,3481700,3289000,192700,5.5
Massachusetts,0,2002,08,3479400,3295300,184100,5.3
Massachusetts,0,2002,09,3432200,3245900,186300,5.4
Massachusetts,0,2002,10,3437000,3264600,172400,5.0
Massachusetts,0,2002,11,3431200,3254000,177100,5.2
Massachusetts,0,2002,12,3424500,3244800,179800,5.2
Massachusetts,0,2003,00,3422400,3227000,195400,5.7
Massachusetts,0,2003,01,3413300,3199200,214200,6.3
Massachusetts,0,2003,02,3408500,3203800,204700,6.0
Massachusetts,0,2003,03,3411200,3210000,201200,5.9
Massachusetts,0,2003,04,3405900,3217200,188700,5.5
Massachusetts,0,2003,05,3403500,3213200,190200,5.6
Massachusetts,0,2003,06,3473100,3260200,212900,6.1
Massachusetts,0,2003,07,3462400,3256800,205600,5.9
Massachusetts,0,2003,08,3455200,3259900,195400,5.7
Massachusetts,0,2003,09,3398000,3202200,195800,5.8
Massachusetts,0,2003,10,3409400,3231200,178200,5.2
Massachusetts,0,2003,11,3419300,3238800,180500,5.3
Massachusetts,0,2003,12,3409000,3231300,177700,5.2
Massachusetts,0,2004,00,3395500,3220800,174700,5.1
Massachusetts,0,2004,01,3401500,3189600,211900,6.2
Massachusetts,0,2004,02,3389600,3193800,195900,5.8
Massachusetts,0,2004,03,3389500,3197100,192400,5.7
Massachusetts,0,2004,04,3373800,3203400,170400,5.1
Massachusetts,0,2004,05,3374600,3203600,171000,5.1
Massachusetts,0,2004,06,3442200,3253100,189100,5.5
Massachusetts,0,2004,07,3446400,3263700,182600,5.3
Massachusetts,0,2004,08,3431100,3265000,166100,4.8
Massachusetts,0,2004,09,3362300,3198400,163900,4.9
Massachusetts,0,2004,10,3375700,3227500,148200,4.4
Massachusetts,0,2004,11,3384800,3233400,151400,4.5
Massachusetts,0,2004,12,3374600,3221400,153200,4.5
Massachusetts,0,2005,00,3384100,3220100,164000,4.8
Massachusetts,0,2005,01,3355800,3169500,186400,5.6
Massachusetts,0,2005,02,3355600,3174000,181600,5.4
Massachusetts,0,2005,03,3358500,3186300,172300,5.1
Massachusetts,0,2005,04,3355600,3198700,156900,4.7
Massachusetts,0,2005,05,3360800,3207100,153700,4.6
Massachusetts,0,2005,06,3425200,3255100,170200,5.0
Massachusetts,0,2005,07,3434200,3267400,166800,4.9
Massachusetts,0,2005,08,3429000,3276300,152700,4.5
Massachusetts,0,2005,09,3371000,3205500,165500,4.9
Massachusetts,0,2005,10,3387800,3239500,148300,4.4
Massachusetts,0,2005,11,3392300,3234500,157800,4.7
Massachusetts,0,2005,12,3383400,3227300,156100,4.6
Massachusetts,0,2006,00,3413300,3246300,167000,4.9
Massachusetts,0,2006,01,3366900,3182100,184700,5.5
Massachusetts,0,2006,02,3372000,3188800,183200,5.4
Massachusetts,0,2006,03,3379200,3204500,174600,5.2
Massachusetts,0,2006,04,3373800,3209100,164800,4.9
Massachusetts,0,2006,05,3383400,3223000,160400,4.7
Massachusetts,0,2006,06,3457700,3282300,175400,5.1
Massachusetts,0,2006,07,3465000,3291600,173400,5.0
Massachusetts,0,2006,08,3462800,3300800,162000,4.7
Massachusetts,0,2006,09,3405800,3239100,166700,4.9
Massachusetts,0,2006,10,3424800,3278700,146100,4.3
Massachusetts,0,2006,11,3435700,3279800,155900,4.5
Massachusetts,0,2006,12,3432900,3275800,157100,4.6
Massachusetts,0,2007,00,3426000,3268100,157900,4.6
Massachusetts,0,2007,01,3410100,3219200,190900,5.6
Massachusetts,0,2007,02,3399600,3222200,177300,5.2
Massachusetts,0,2007,03,3406900,3243800,163100,4.8
Massachusetts,0,2007,04,3393900,3242400,151600,4.5
Massachusetts,0,2007,05,3400200,3250300,149900,4.4
Massachusetts,0,2007,06,3473000,3305200,167800,4.8
Massachusetts,0,2007,07,3478400,3313200,165200,4.7
Massachusetts,0,2007,08,3459100,3311200,147800,4.3
Massachusetts,0,2007,09,3412700,3260300,152400,4.5
Massachusetts,0,2007,10,3417700,3282400,135300,4.0
Massachusetts,0,2007,11,3436800,3294400,142400,4.1
Massachusetts,0,2007,12,3423800,3272500,151300,4.4
Massachusetts,0,2008,00,3452500,3261400,191100,5.5
Massachusetts,0,2008,01,3412800,3228300,184500,5.4
Massachusetts,0,2008,02,3402100,3226700,175400,5.2
Massachusetts,0,2008,03,3413600,3241800,171800,5.0
Massachusetts,0,2008,04,3412400,3254600,157800,4.6
Massachusetts,0,2008,05,3423100,3251300,171900,5.0
Massachusetts,0,2008,06,3498100,3302100,196100,5.6
Massachusetts,0,2008,07,3509200,3309800,199400,5.7
Massachusetts,0,2008,08,3502600,3307200,195400,5.6
Massachusetts,0,2008,09,3450200,3245800,204400,5.9
Massachusetts,0,2008,10,3468100,3270500,197600,5.7
Massachusetts,0,2008,11,3472000,3261100,210800,6.1
Massachusetts,0,2008,12,3465500,3237800,227700,6.6
Massachusetts,0,2009,00,3470400,3189000,281400,8.1
Massachusetts,0,2009,01,3445800,3172800,273000,7.9
Massachusetts,0,2009,02,3443100,3170800,272400,7.9
Massachusetts,0,2009,03,3443400,3176000,267400,7.8
Massachusetts,0,2009,04,3446700,3193600,253100,7.3
Massachusetts,0,2009,05,3449300,3183600,265700,7.7
Massachusetts,0,2009,06,3524400,3230800,293600,8.3
Massachusetts,0,2009,07,3534300,3237800,296500,8.4
Massachusetts,0,2009,08,3521300,3232000,289300,8.2
Massachusetts,0,2009,09,3454900,3156100,298800,8.6
Massachusetts,0,2009,10,3459900,3174500,285400,8.2
Massachusetts,0,2009,11,3469700,3182600,287100,8.3
Massachusetts,0,2009,12,3451700,3157400,294300,8.5
Massachusetts,0,2010,00,3480100,3190800,289300,8.3
Massachusetts,0,2010,01,3460600,3128500,332100,9.6
Massachusetts,0,2010,02,3457600,3138200,319400,9.2
Massachusetts,0,2010,03,3464600,3155800,308900,8.9
Massachusetts,0,2010,04,3475200,3186300,288900,8.3
Massachusetts,0,2010,05,3467000,3182500,284500,8.2
Massachusetts,0,2010,06,3525200,3228000,297300,8.4
Massachusetts,0,2010,07,3525700,3231600,294200,8.3
Massachusetts,0,2010,08,3520000,3243000,277100,7.9
Massachusetts,0,2010,09,3462000,3184100,277900,8.0
Massachusetts,0,2010,10,3462500,3204100,258400,7.5
Massachusetts,0,2010,11,3474900,3206700,268200,7.7
Massachusetts,0,2010,12,3465600,3201200,264400,7.6
Massachusetts,0,2011,00,3469600,3218100,251500,7.2
Massachusetts,0,2011,01,3453400,3159600,293800,8.5
Massachusetts,0,2011,02,3447100,3168100,278900,8.1
Massachusetts,0,2011,03,3454100,3189800,264300,7.7
Massachusetts,0,2011,04,3443300,3198000,245300,7.1
Massachusetts,0,2011,05,3445900,3202800,243100,7.1
Massachusetts,0,2011,06,3507600,3242600,265000,7.6
Massachusetts,0,2011,07,3505700,3247500,258200,7.4
Massachusetts,0,2011,08,3507200,3264600,242600,6.9
Massachusetts,0,2011,09,3459500,3212600,246900,7.1
Massachusetts,0,2011,10,3469000,3242400,226500,6.5
Massachusetts,0,2011,11,3473100,3249700,223400,6.4
Massachusetts,0,2011,12,3469000,3239700,229400,6.6
Massachusetts,0,2012,00,3484800,3252000,232800,6.7
Massachusetts,0,2012,01,3449100,3190200,258900,7.5
Massachusetts,0,2012,02,3453200,3203700,249500,7.2
Massachusetts,0,2012,03,3458700,3222800,235900,6.8
Massachusetts,0,2012,04,3450900,3233900,217000,6.3
Massachusetts,0,2012,05,3461400,3242000,219400,6.3
Massachusetts,0,2012,06,3528800,3285800,243000,6.9
Massachusetts,0,2012,07,3529200,3285700,243500,6.9
Massachusetts,0,2012,08,3521400,3290200,231200,6.6
Massachusetts,0,2012,09,3480100,3249300,230900,6.6
Massachusetts,0,2012,10,3498800,3280800,218000,6.2
Massachusetts,0,2012,11,3494800,3277000,217800,6.2
