areaname,Not Adjusted,Year,period,laborforce,employed,unemployed,unemployment rate
Massachusetts,0,1976,00,2721900,2460100,261800,9.6
Massachusetts,0,1976,01,2684700,2372800,311900,11.6
Massachusetts,0,1976,02,2680300,2377500,302700,11.3
Massachusetts,0,1976,03,2692800,2398300,294500,10.9
Massachusetts,0,1976,04,2686300,2420500,265700,9.9
Massachusetts,0,1976,05,2691000,2438300,252700,9.4
Massachusetts,0,1976,06,2764200,2493700,270500,9.8
Massachusetts,0,1976,07,2790500,2519900,270600,9.7
Massachusetts,0,1976,08,2779500,2528900,250600,9.0
Massachusetts,0,1976,09,2706800,2463200,243700,9.0
Massachusetts,0,1976,10,2722800,2497500,225200,8.3
Massachusetts,0,1976,11,2736400,2508200,228200,8.3
Massachusetts,0,1976,12,2727200,2502200,225000,8.2
Massachusetts,0,1977,00,2763200,2548400,214900,7.8
Massachusetts,0,1977,01,2711900,2455400,256500,9.5
Massachusetts,0,1977,02,2708500,2460400,248100,9.2
Massachusetts,0,1977,03,2723900,2482900,241000,8.8
Massachusetts,0,1977,04,2722000,2506200,215800,7.9
Massachusetts,0,1977,05,2730200,2523000,207100,7.6
Massachusetts,0,1977,06,2815400,2583800,231600,8.2
Massachusetts,0,1977,07,2825400,2606100,219300,7.8
Massachusetts,0,1977,08,2827600,2613300,214300,7.6
Massachusetts,0,1977,09,2755600,2549700,205900,7.5
Massachusetts,0,1977,10,2768100,2586000,182100,6.6
Massachusetts,0,1977,11,2788400,2605100,183300,6.6
Massachusetts,0,1977,12,2782000,2608300,173700,6.2
Massachusetts,0,1978,00,2813700,2638900,174800,6.2
Massachusetts,0,1978,01,2771100,2563200,207900,7.5
Massachusetts,0,1978,02,2759600,2561900,197600,7.2
Massachusetts,0,1978,03,2767800,2577900,189900,6.9
Massachusetts,0,1978,04,2764700,2597700,167100,6.0
Massachusetts,0,1978,05,2774700,2611500,163200,5.9
Massachusetts,0,1978,06,2865600,2681800,183900,6.4
Massachusetts,0,1978,07,2878400,2691300,187000,6.5
Massachusetts,0,1978,08,2871100,2701500,169600,5.9
Massachusetts,0,1978,09,2807500,2637800,169700,6.0
Massachusetts,0,1978,10,2824600,2678500,146100,5.2
Massachusetts,0,1978,11,2842600,2686900,155700,5.5
Massachusetts,0,1978,12,2837300,2676800,160500,5.7
Massachusetts,0,1979,00,2852900,2695700,157100,5.5
Massachusetts,0,1979,01,2824500,2634600,189900,6.7
Massachusetts,0,1979,02,2820200,2639100,181100,6.4
Massachusetts,0,1979,03,2829900,2653600,176300,6.2
Massachusetts,0,1979,04,2807500,2654800,152700,5.4
Massachusetts,0,1979,05,2812000,2666700,145300,5.2
Massachusetts,0,1979,06,2900200,2735500,164700,5.7
Massachusetts,0,1979,07,2910700,2754700,156000,5.4
Massachusetts,0,1979,08,2902800,2748600,154200,5.3
Massachusetts,0,1979,09,2851600,2698800,152800,5.4
Massachusetts,0,1979,10,2853500,2719000,134600,4.7
Massachusetts,0,1979,11,2860900,2722900,138100,4.8
Massachusetts,0,1979,12,2861000,2720900,140100,4.9
Massachusetts,0,1980,00,2868300,2706600,161600,5.6
Massachusetts,0,1980,01,2837000,2663100,173800,6.1
Massachusetts,0,1980,02,2828800,2663600,165200,5.8
Massachusetts,0,1980,03,2831800,2668900,162900,5.8
Massachusetts,0,1980,04,2818500,2667800,150700,5.3
Massachusetts,0,1980,05,2828900,2671000,157900,5.6
Massachusetts,0,1980,06,2905100,2727600,177500,6.1
Massachusetts,0,1980,07,2928900,2750400,178500,6.1
Massachusetts,0,1980,08,2921300,2756000,165300,5.7
Massachusetts,0,1980,09,2864700,2703000,161700,5.6
Massachusetts,0,1980,10,2882600,2732900,149700,5.2
Massachusetts,0,1980,11,2893400,2743100,150300,5.2
Massachusetts,0,1980,12,2878400,2732300,146100,5.1
Massachusetts,0,1981,00,2941600,2751200,190400,6.5
Massachusetts,0,1981,01,2881100,2689000,192100,6.7
Massachusetts,0,1981,02,2874400,2690900,183500,6.4
Massachusetts,0,1981,03,2897700,2713800,183800,6.3
Massachusetts,0,1981,04,2900600,2735300,165300,5.7
Massachusetts,0,1981,05,2918900,2746800,172100,5.9
Massachusetts,0,1981,06,2978300,2785600,192700,6.5
Massachusetts,0,1981,07,3011400,2808400,203000,6.7
Massachusetts,0,1981,08,3011700,2815300,196400,6.5
Massachusetts,0,1981,09,2940100,2739700,200500,6.8
Massachusetts,0,1981,10,2961200,2770900,190300,6.4
Massachusetts,0,1981,11,2971400,2772300,199200,6.7
Massachusetts,0,1981,12,2952900,2746300,206600,7.0
Massachusetts,0,1982,00,2987100,2756500,230600,7.7
Massachusetts,0,1982,01,2950600,2702200,248400,8.4
Massachusetts,0,1982,02,2942200,2701500,240700,8.2
Massachusetts,0,1982,03,2951200,2713900,237300,8.0
Massachusetts,0,1982,04,2945100,2723500,221600,7.5
Massachusetts,0,1982,05,2973500,2749100,224400,7.5
Massachusetts,0,1982,06,3033800,2791400,242400,8.0
Massachusetts,0,1982,07,3053100,2809600,243500,8.0
Massachusetts,0,1982,08,3052300,2819700,232700,7.6
Massachusetts,0,1982,09,2983900,2756400,227500,7.6
Massachusetts,0,1982,10,2985500,2773900,211500,7.1
Massachusetts,0,1982,11,2994300,2777100,217200,7.3
Massachusetts,0,1982,12,2980200,2759700,220600,7.4
Massachusetts,0,1983,00,2996900,2794500,202400,6.8
Massachusetts,0,1983,01,2957600,2711600,246000,8.3
Massachusetts,0,1983,02,2941100,2705200,235900,8.0
Massachusetts,0,1983,03,2946000,2717900,228200,7.7
Massachusetts,0,1983,04,2935400,2731500,203900,6.9
Massachusetts,0,1983,05,2944700,2745500,199200,6.8
Massachusetts,0,1983,06,3043500,2826700,216900,7.1
Massachusetts,0,1983,07,3057600,2856100,201600,6.6
Massachusetts,0,1983,08,3065200,2869200,196000,6.4
Massachusetts,0,1983,09,3008600,2816300,192300,6.4
Massachusetts,0,1983,10,3010700,2838800,171900,5.7
Massachusetts,0,1983,11,3031300,2862200,169100,5.6
Massachusetts,0,1983,12,3020500,2852700,167800,5.6
Massachusetts,0,1984,00,3037300,2892700,144600,4.8
Massachusetts,0,1984,01,2999000,2803000,196100,6.5
Massachusetts,0,1984,02,2993000,2814400,178600,6.0
Massachusetts,0,1984,03,3003400,2831500,171800,5.7
Massachusetts,0,1984,04,3000000,2849800,150200,5.0
Massachusetts,0,1984,05,3020500,2883300,137200,4.5
Massachusetts,0,1984,06,3093300,2947000,146300,4.7
Massachusetts,0,1984,07,3103600,2957800,145800,4.7
Massachusetts,0,1984,08,3091200,2954100,137100,4.4
Massachusetts,0,1984,09,3032200,2900200,132000,4.4
Massachusetts,0,1984,10,3033400,2921300,112100,3.7
Massachusetts,0,1984,11,3044200,2931200,113000,3.7
Massachusetts,0,1984,12,3033700,2919500,114300,3.8
Massachusetts,0,1985,00,3051400,2930500,120900,4.0
Massachusetts,0,1985,01,3018500,2871600,146900,4.9
Massachusetts,0,1985,02,3012700,2876600,136000,4.5
Massachusetts,0,1985,03,3032000,2899000,133000,4.4
Massachusetts,0,1985,04,3017400,2903200,114200,3.8
Massachusetts,0,1985,05,3029500,2914900,114600,3.8
Massachusetts,0,1985,06,3089800,2961000,128800,4.2
