Area_Name,Labor_Force,Employment,Unemployment,Rate
Barnstable County,"112,011","105,184","6,827",6.1
Berkshire County,"66,152","62,569","3,583",5.4
Bristol County,"291,247","273,299","17,949",6.2
Dukes County LMA,"9,222","8,595",627,6.8
Essex County,"408,445","387,950","20,495",5.0
Franklin County,"39,821","38,059","1,762",4.4
Hampden County,"224,116","209,315","14,801",6.6
Hampshire County,"87,305","83,553","3,752",4.3
Middlesex County,"864,086","830,227","33,859",3.9
Nantucket Town LMA,"6,900","6,527",373,5.4
Norfolk County,"372,593","356,896","15,696",4.2
Plymouth County,"269,821","256,128","13,693",5.1
Suffolk County,"417,926","399,000","18,927",4.5
Worcester County,"431,543","409,288","22,255",5.2
