County,2011,2012,2013,2014
Barnstable,17,31,20,40
Berkshire,25,23,31,20
Bristol,29,36,38,38
Dukes,6,12,12,0
Essex,35,28,35,32
Franklin,17,31,43,34
Hampden,62,63,61,59
Hampshire,8,13,8,14
Middlesex,22,25,24,45
Nantucket,0,0,10,0
Norfolk,19,23,20,21
Plymouth,34,44,40,37
Suffolk,63,81,74,69
Worcester,38,49,47,21
