,Male,Total
Suffolk County,12,27%
Middlesex County,7,16%
Bristol County,5,11%
Worcester County,5,11%
Plymouth County,4,9%
Hampden County,3,7%
Norfolk County,3,7%
Berkshire County,1,2%
Essex County,1,2%
Outside MA,4,9%
Total,45,100%
