,Female,Male,Total
Barnstable,5,8,13
Bourne,0,4,4
Chatham,0,1,1
Falmouth,3,7,10
Harwich,0,1,1
Mashpee,1,3,4
Sandwich,0,1,1
Yarmouth,0,2,2
Total,9,27,36
