data type,Labor Force,Labor Force,Labor Force,Employment,Employment,Employment,Unemployment,Unemployment,Unemployment,Rate %,Rate %,Rate %
Dalton,"3,460","3,654","3,550","3,314","3,502","3,362",146,152,188,4.2,4.2,5.3
Danvers,"15,194","15,468","15,302","14,618","14,905","14,548",576,563,754,3.8,3.6,4.9
Dartmouth,"18,248","18,324","18,341","17,376","17,448","17,253",872,876,"1,088",4.8,4.8,5.9
Dedham,"13,209","13,506","13,246","12,663","12,963","12,560",546,543,686,4.1,4,5.2
Deerfield,"2,958","3,066","2,959","2,858","2,964","2,841",100,102,118,3.4,3.3,4
Dennis,"6,574","7,113","6,770","6,241","6,788","6,336",333,325,434,5.1,4.6,6.4
Dighton,"3,809","3,871","3,852","3,636","3,682","3,646",173,189,206,4.5,4.9,5.3
Douglas,"5,023","5,112","5,034","4,828","4,911","4,789",195,201,245,3.9,3.9,4.9
Dover,"2,595","2,688","2,622","2,515","2,609","2,510",80,79,112,3.1,2.9,4.3
Dracut,"16,998","17,432","17,113","16,280","16,692","16,154",718,740,959,4.2,4.2,5.6
Dudley,"6,253","6,359","6,281","5,949","6,041","5,884",304,318,397,4.9,5,6.3
Dunstable,"1,821","1,847","1,879","1,763","1,792","1,802",58,55,77,3.2,3,4.1
Duxbury,"7,169","7,405","7,180","6,884","7,116","6,818",285,289,362,4,3.9,5
East Bridgewater,"8,353","8,471","8,417","8,019","8,127","7,986",334,344,431,4,4.1,5.1
East Brookfield,"1,193","1,211","1,199","1,131","1,150","1,133",62,61,66,5.2,5,5.5
East Longmeadow,"8,525","8,598","8,553","8,179","8,243","8,161",346,355,392,4.1,4.1,4.6
Eastham,"2,520","2,789","2,595","2,401","2,668","2,449",119,121,146,4.7,4.3,5.6
Easthampton,"9,438","9,507","9,431","9,055","9,089","8,965",383,418,466,4.1,4.4,4.9
Easton,"13,413","13,557","13,522","12,932","13,074","12,870",481,483,652,3.6,3.6,4.8
Edgartown,"2,363","2,857","2,510","2,239","2,732","2,343",124,125,167,5.2,4.4,6.7
Egremont,692,737,735,674,720,711,18,17,24,2.6,2.3,3.3
Erving,938,946,961,906,910,914,32,36,47,3.4,3.8,4.9
Essex,"2,063","2,195","2,081","1,984","2,117","1,981",79,78,100,3.8,3.6,4.8
Everett,"23,832","24,438","24,103","22,814","23,354","22,760","1,018","1,084","1,343",4.3,4.4,5.6
Fairhaven,"9,234","9,363","9,338","8,726","8,836","8,688",508,527,650,5.5,5.6,7
Fall River,"39,255","39,924","39,896","36,352","36,970","36,188","2,903","2,954","3,708",7.4,7.4,9.3
Falmouth,"15,316","16,619","15,741","14,620","15,928","14,842",696,691,899,4.5,4.2,5.7
Fitchburg,"19,019","19,338","19,376","17,872","18,147","17,844","1,147","1,191","1,532",6,6.2,7.9
Florida,401,410,424,385,391,394,16,19,30,4,4.6,7.1
Foxborough,"9,620","9,862","9,657","9,232","9,481","9,173",388,381,484,4,3.9,5
Framingham,"39,183","39,993","39,302","37,833","38,630","37,625","1,350","1,363","1,677",3.4,3.4,4.3
Franklin,"17,365","17,730","17,347","16,733","17,100","16,521",632,630,826,3.6,3.6,4.8
Freetown,"5,096","5,226","5,174","4,871","4,983","4,886",225,243,288,4.4,4.6,5.6
Gardner,"9,463","9,608","9,560","8,868","8,997","8,858",595,611,702,6.3,6.4,7.3
Georgetown,"4,527","4,635","4,550","4,369","4,483","4,338",158,152,212,3.5,3.3,4.7
Gill,902,919,922,871,882,880,31,37,42,3.4,4,4.6
Gloucester,"15,063","15,652","15,205","14,215","14,818","14,169",848,834,"1,036",5.6,5.3,6.8
Goshen,635,641,644,615,620,620,20,21,24,3.1,3.3,3.7
Gosnold,49,58,46,44,53,43,5,5,3,10.2,8.6,6.5
Grafton,"9,802","9,987","9,804","9,403","9,580","9,282",399,407,522,4.1,4.1,5.3
Granby,"3,670","3,686","3,688","3,512","3,524","3,500",158,162,188,4.3,4.4,5.1
Granville,866,891,872,833,855,832,33,36,40,3.8,4,4.6
Great Barrington,"3,598","3,841","3,725","3,469","3,704","3,563",129,137,162,3.6,3.6,4.3
Greenfield,"9,182","9,268","9,397","8,804","8,883","8,896",378,385,501,4.1,4.2,5.3
Groton,"5,794","5,954","5,850","5,596","5,761","5,587",198,193,263,3.4,3.2,4.5
Groveland,"4,066","4,164","4,093","3,920","4,019","3,906",146,145,187,3.6,3.5,4.6
Hadley,"2,856","3,023","2,889","2,769","2,918","2,771",87,105,118,3,3.5,4.1
Halifax,"4,156","4,244","4,156","3,970","4,053","3,921",186,191,235,4.5,4.5,5.7
Hamilton,"4,204","4,300","4,210","4,059","4,153","4,042",145,147,168,3.4,3.4,4
Hampden,"2,925","2,934","2,941","2,824","2,834","2,816",101,100,125,3.5,3.4,4.3
Hancock,396,419,410,385,409,391,11,10,19,2.8,2.4,4.6
Hanover,"7,397","7,564","7,415","7,132","7,289","7,067",265,275,348,3.6,3.6,4.7
Hanson,"6,029","6,091","6,060","5,767","5,830","5,731",262,261,329,4.3,4.3,5.4
Hardwick,"1,533","1,576","1,549","1,459","1,504","1,473",74,72,76,4.8,4.6,4.9
Harvard,"2,632","2,707","2,687","2,542","2,616","2,574",90,91,113,3.4,3.4,4.2
Harwich,"6,022","6,569","6,149","5,747","6,294","5,818",275,275,331,4.6,4.2,5.4
Hatfield,"1,716","1,779","1,738","1,650","1,710","1,648",66,69,90,3.8,3.9,5.2
Haverhill,"33,551","34,387","33,699","31,895","32,740","31,608","1,656","1,647","2,091",4.9,4.8,6.2
Hawley,200,208,205,191,196,197,9,12,8,4.5,5.8,3.9
Heath,344,362,358,333,349,342,11,13,16,3.2,3.6,4.5
Hingham,"10,475","10,746","10,497","10,102","10,385","10,030",373,361,467,3.6,3.4,4.4
Hinsdale,"1,051","1,121","1,088",993,"1,047","1,010",58,74,78,5.5,6.6,7.2
Holbrook,"6,025","6,164","6,065","5,683","5,827","5,651",342,337,414,5.7,5.5,6.8
Holden,"9,866","10,016","9,856","9,496","9,634","9,401",370,382,455,3.8,3.8,4.6
Holland,"1,576","1,606","1,589","1,514","1,542","1,505",62,64,84,3.9,4,5.3
Holliston,"7,259","7,454","7,269","6,978","7,175","6,920",281,279,349,3.9,3.7,4.8
Holyoke,"16,141","16,288","16,333","14,933","15,012","14,790","1,208","1,276","1,543",7.5,7.8,9.4
Hopedale,"3,106","3,157","3,090","2,979","3,033","2,943",127,124,147,4.1,3.9,4.8
Hopkinton,"7,912","8,052","7,908","7,609","7,751","7,535",303,301,373,3.8,3.7,4.7
Hubbardston,"2,435","2,490","2,463","2,334","2,386","2,337",101,104,126,4.1,4.2,5.1
Hudson,"10,462","10,780","10,462","9,995","10,270","9,897",467,510,565,4.5,4.7,5.4
Hull,"5,829","6,004","5,873","5,546","5,718","5,511",283,286,362,4.9,4.8,6.2
Huntington,"1,165","1,176","1,172","1,105","1,115","1,103",60,61,69,5.2,5.2,5.9
Ipswich,"7,481","7,767","7,499","7,191","7,480","7,150",290,287,349,3.9,3.7,4.7
Kingston,"6,755","6,896","6,778","6,471","6,614","6,420",284,282,358,4.2,4.1,5.3
Lakeville,"6,206","6,378","6,312","5,956","6,105","5,981",250,273,331,4,4.3,5.2
Lancaster,"3,883","3,955","3,879","3,746","3,814","3,709",137,141,170,3.5,3.6,4.4
Lanesborough,"1,741","1,832","1,777","1,666","1,754","1,680",75,78,97,4.3,4.3,5.5
Lawrence,"34,685","35,447","35,218","31,515","32,311","31,464","3,170","3,136","3,754",9.1,8.8,10.7
Lee,"3,316","3,499","3,379","3,190","3,378","3,228",126,121,151,3.8,3.5,4.5
Leicester,"6,548","6,725","6,554","6,243","6,428","6,187",305,297,367,4.7,4.4,5.6
Lenox,"1,830","1,910","1,895","1,743","1,831","1,792",87,79,103,4.8,4.1,5.4
Leominster,"21,453","21,872","21,850","20,290","20,660","20,377","1,163","1,212","1,473",5.4,5.5,6.7
Leverett,"1,065","1,098","1,096","1,033","1,066","1,050",32,32,46,3,2.9,4.2
Lexington,"15,546","15,871","15,612","15,012","15,362","14,958",534,509,654,3.4,3.2,4.2
Leyden,456,475,467,441,459,447,15,16,20,3.3,3.4,4.3
Lincoln,"2,739","2,849","2,791","2,647","2,761","2,665",92,88,126,3.4,3.1,4.5
Littleton,"4,972","5,097","5,006","4,806","4,924","4,779",166,173,227,3.3,3.4,4.5
Longmeadow,"8,025","8,065","8,076","7,751","7,783","7,736",274,282,340,3.4,3.5,4.2
Lowell,"53,498","54,646","53,971","50,374","51,464","50,023","3,124","3,182","3,948",5.8,5.8,7.3
Ludlow,"10,691","10,755","10,782","10,160","10,226","10,104",531,529,678,5,4.9,6.3
Lunenburg,"6,044","6,195","6,139","5,797","5,942","5,833",247,253,306,4.1,4.1,5
Lynn,"46,629","47,547","46,659","44,244","45,117","43,600","2,385","2,430","3,059",5.1,5.1,6.6
Lynnfield,"6,744","6,913","6,779","6,529","6,698","6,500",215,215,279,3.2,3.1,4.1
Malden,"32,914","33,692","33,152","31,480","32,226","31,324","1,434","1,466","1,828",4.4,4.4,5.5
Manchester,"2,593","2,669","2,646","2,505","2,582","2,519",88,87,127,3.4,3.3,4.8
Mansfield,"13,199","13,515","13,190","12,696","13,002","12,538",503,513,652,3.8,3.8,4.9
Marblehead,"10,696","10,918","10,805","10,319","10,553","10,325",377,365,480,3.5,3.3,4.4
Marion,"2,530","2,764","2,581","2,432","2,655","2,455",98,109,126,3.9,3.9,4.9
Marlborough,"23,106","23,620","23,225","22,268","22,736","22,113",838,884,"1,112",3.6,3.7,4.8
Marshfield,"14,433","14,814","14,502","13,880","14,250","13,803",553,564,699,3.8,3.8,4.8
Mashpee,"7,739","8,372","7,901","7,385","8,027","7,461",354,345,440,4.6,4.1,5.6
Mattapoisett,"3,046","3,065","3,090","2,915","2,936","2,905",131,129,185,4.3,4.2,6
Maynard,"6,036","6,164","6,078","5,823","5,958","5,793",213,206,285,3.5,3.3,4.7
Medfield,"6,321","6,487","6,363","6,112","6,265","6,086",209,222,277,3.3,3.4,4.4
Medford,"33,153","33,852","33,195","31,902","32,615","31,576","1,251","1,237","1,619",3.8,3.7,4.9
Medway,"7,130","7,294","7,133","6,862","7,025","6,793",268,269,340,3.8,3.7,4.8
Melrose,"15,803","16,168","15,830","15,226","15,613","15,126",577,555,704,3.7,3.4,4.4
Mendon,"3,173","3,240","3,151","3,051","3,120","3,007",122,120,144,3.8,3.7,4.6
Merrimac,"3,785","3,883","3,815","3,650","3,740","3,631",135,143,184,3.6,3.7,4.8
Methuen,"25,744","26,446","26,069","24,397","25,061","24,390","1,347","1,385","1,679",5.2,5.2,6.4
Middleborough,"12,425","12,652","12,558","11,832","12,027","11,839",593,625,719,4.8,4.9,5.7
Middlefield,337,353,343,322,338,329,15,15,14,4.5,4.2,4.1
Middleton,"4,279","4,369","4,263","4,103","4,187","4,044",176,182,219,4.1,4.2,5.1
Milford,"15,171","15,450","15,234","14,533","14,801","14,381",638,649,853,4.2,4.2,5.6
Millbury,"7,839","7,965","7,893","7,511","7,624","7,450",328,341,443,4.2,4.3,5.6
Millis,"4,191","4,312","4,185","4,016","4,131","3,975",175,181,210,4.2,4.2,5
Millville,"1,740","1,766","1,753","1,663","1,687","1,653",77,79,100,4.4,4.5,5.7
Milton,"13,717","14,040","13,791","13,169","13,485","13,065",548,555,726,4,4,5.3
Monroe,77,75,75,70,69,70,7,6,5,9.1,8,6.7
Monson,"4,738","4,777","4,798","4,548","4,573","4,528",190,204,270,4,4.3,5.6
Montague,"4,146","4,191","4,241","3,938","3,988","3,977",208,203,264,5,4.8,6.2
Monterey,424,464,447,407,448,427,17,16,20,4,3.4,4.5
Montgomery,496,514,501,478,494,476,18,20,25,3.6,3.9,5
Mount Washington,85,89,92,82,86,87,3,3,5,3.5,3.4,5.4
Nahant,"1,955","1,994","1,973","1,884","1,923","1,876",71,71,97,3.6,3.6,4.9
Nantucket,"7,822","9,056","7,810","7,613","8,852","7,539",209,204,271,2.7,2.3,3.5
Natick,"19,773","20,209","19,844","19,158","19,567","19,015",615,642,829,3.1,3.2,4.2
Needham,"14,906","15,265","15,024","14,435","14,795","14,410",471,470,614,3.2,3.1,4.1
New Ashford,136,142,140,129,136,131,7,6,9,5.1,4.2,6.4
New Bedford,"46,030","46,403","46,595","42,506","42,787","42,207","3,524","3,616","4,388",7.7,7.8,9.4
New Braintree,527,551,527,502,525,501,25,26,26,4.7,4.7,4.9
New Marlborough,788,842,839,767,819,801,21,23,38,2.7,2.7,4.5
New Salem,555,588,558,532,568,533,23,20,25,4.1,3.4,4.5
Newbury,"3,513","3,675","3,542","3,374","3,528","3,362",139,147,180,4,4,5.1
Newburyport,"9,600","9,847","9,689","9,228","9,487","9,216",372,360,473,3.9,3.7,4.9
Newton,"45,938","46,999","46,192","44,337","45,399","44,209","1,601","1,600","1,983",3.5,3.4,4.3
Norfolk,"5,028","5,141","5,038","4,849","4,959","4,794",179,182,244,3.6,3.5,4.8
North Adams,"5,988","6,095","6,232","5,588","5,671","5,697",400,424,535,6.7,7,8.6
North Andover,"15,137","15,532","15,351","14,520","14,900","14,554",617,632,797,4.1,4.1,5.2
North Attleborough,"15,906","16,121","15,974","15,206","15,426","15,132",700,695,842,4.4,4.3,5.3
North Brookfield,"2,618","2,658","2,626","2,499","2,534","2,472",119,124,154,4.5,4.7,5.9
North Reading,"8,389","8,603","8,388","8,081","8,303","8,002",308,300,386,3.7,3.5,4.6
Northampton,"15,815","15,986","15,964","15,275","15,450","15,292",540,536,672,3.4,3.4,4.2
Northborough,"7,765","7,909","7,741","7,462","7,595","7,382",303,314,359,3.9,4,4.6
Northbridge,"8,753","8,943","8,773","8,360","8,529","8,249",393,414,524,4.5,4.6,6
Northfield,"1,705","1,715","1,724","1,656","1,663","1,661",49,52,63,2.9,3,3.7
Norton,"10,390","10,540","10,455","9,896","10,032","9,896",494,508,559,4.8,4.8,5.3
Norwell,"4,939","5,050","4,967","4,743","4,862","4,718",196,188,249,4,3.7,5
Norwood,"15,774","16,162","15,758","15,108","15,502","14,948",666,660,810,4.2,4.1,5.1
Oak Bluffs,"2,547","3,079","2,692","2,446","2,982","2,563",101,97,129,4,3.2,4.8
Oakham,"1,061","1,090","1,073","1,011","1,038","1,004",50,52,69,4.7,4.8,6.4
Orange,"3,381","3,522","3,466","3,184","3,313","3,203",197,209,263,5.8,5.9,7.6
Orleans,"2,803","3,060","2,902","2,701","2,962","2,764",102,98,138,3.6,3.2,4.8
Otis,768,804,804,733,769,767,35,35,37,4.6,4.4,4.6
Oxford,"8,131","8,278","8,193","7,819","7,944","7,745",312,334,448,3.8,4,5.5
Palmer,"6,074","6,183","6,154","5,718","5,807","5,713",356,376,441,5.9,6.1,7.2
Paxton,"2,613","2,658","2,625","2,517","2,558","2,503",96,100,122,3.7,3.8,4.6
Peabody,"28,381","28,884","28,566","27,167","27,667","27,032","1,214","1,217","1,534",4.3,4.2,5.4
Pelham,697,706,718,674,680,683,23,26,35,3.3,3.7,4.9
Pembroke,"10,185","10,428","10,204","9,763","9,987","9,673",422,441,531,4.1,4.2,5.2
Pepperell,"6,702","6,799","6,880","6,438","6,530","6,554",264,269,326,3.9,4,4.7
Peru,490,512,506,472,495,480,18,17,26,3.7,3.3,5.1
Petersham,624,669,631,592,645,594,32,24,37,5.1,3.6,5.9
Phillipston,913,956,938,868,907,879,45,49,59,4.9,5.1,6.3
Pittsfield,"21,529","22,578","22,071","20,403","21,476","20,616","1,126","1,102","1,455",5.2,4.9,6.6
Plainfield,327,342,353,317,332,333,10,10,20,3.1,2.9,5.7
Plainville,"5,363","5,482","5,417","5,174","5,269","5,162",189,213,255,3.5,3.9,4.7
Plymouth,"30,133","30,958","30,288","28,800","29,581","28,539","1,333","1,377","1,749",4.4,4.4,5.8
Plympton,"1,541","1,593","1,550","1,475","1,527","1,470",66,66,80,4.3,4.1,5.2
Princeton,"1,886","1,935","1,896","1,824","1,868","1,811",62,67,85,3.3,3.5,4.5
Provincetown,"2,043","2,197","2,126","1,816","1,966","1,851",227,231,275,11.1,10.5,12.9
Quincy,"52,833","53,950","52,925","50,428","51,594","49,884","2,405","2,356","3,041",4.6,4.4,5.7
Randolph,"17,534","17,917","17,538","16,544","16,891","16,324",990,"1,026","1,214",5.6,5.7,6.9
Raynham,"7,073","7,221","7,163","6,740","6,859","6,742",333,362,421,4.7,5,5.9
Reading,"13,754","14,051","13,741","13,295","13,599","13,156",459,452,585,3.3,3.2,4.3
Rehoboth,"6,676","6,896","6,740","6,421","6,625","6,399",255,271,341,3.8,3.9,5.1
Revere,"28,334","28,908","28,342","27,024","27,605","26,726","1,310","1,303","1,616",4.6,4.5,5.7
Richmond,745,795,766,720,771,736,25,24,30,3.4,3,3.9
Rochester,"3,099","3,154","3,140","2,970","3,032","2,986",129,122,154,4.2,3.9,4.9
Rockland,"9,633","9,821","9,614","9,158","9,347","9,022",475,474,592,4.9,4.8,6.2
Rockport,"3,452","3,561","3,498","3,294","3,408","3,287",158,153,211,4.6,4.3,6
Rowe,154,154,164,145,145,149,9,9,15,5.8,5.8,9.1
Rowley,"3,195","3,393","3,200","3,060","3,255","3,034",135,138,166,4.2,4.1,5.2
Royalston,688,718,703,657,683,667,31,35,36,4.5,4.9,5.1
Russell,984,"1,004",989,946,956,949,38,48,40,3.9,4.8,4
Rutland,"4,416","4,498","4,424","4,230","4,294","4,198",186,204,226,4.2,4.5,5.1
Salem,"23,450","23,857","23,693","22,358","22,742","22,279","1,092","1,115","1,414",4.7,4.7,6
Salisbury,"5,127","5,243","5,162","4,896","5,016","4,871",231,227,291,4.5,4.3,5.6
Sandisfield,457,500,472,441,482,454,16,18,18,3.5,3.6,3.8
Sandwich,"11,309","12,297","11,587","10,895","11,890","11,008",414,407,579,3.7,3.3,5
Saugus,"15,764","16,016","15,720","15,059","15,338","14,856",705,678,864,4.5,4.2,5.5
Savoy,378,405,394,359,385,363,19,20,31,5,4.9,7.9
Scituate,"9,071","9,295","9,091","8,695","8,935","8,646",376,360,445,4.1,3.9,4.9
Seekonk,"7,832","7,969","7,923","7,513","7,630","7,506",319,339,417,4.1,4.3,5.3
Sharon,"9,679","9,887","9,709","9,339","9,558","9,268",340,329,441,3.5,3.3,4.5
Sheffield,"1,799","1,974","1,864","1,739","1,915","1,797",60,59,67,3.3,3,3.6
Shelburne,"1,095","1,149","1,153","1,050","1,103","1,086",45,46,67,4.1,4,5.8
Sherborn,"2,144","2,222","2,183","2,082","2,161","2,103",62,61,80,2.9,2.7,3.7
Shirley,"2,891","2,960","2,934","2,761","2,819","2,743",130,141,191,4.5,4.8,6.5
Shrewsbury,"19,555","19,866","19,548","18,865","19,164","18,672",690,702,876,3.5,3.5,4.5
Shutesbury,"1,073","1,089","1,094","1,040","1,054","1,046",33,35,48,3.1,3.2,4.4
Somerset,"9,131","9,272","9,220","8,697","8,823","8,657",434,449,563,4.8,4.8,6.1
Somerville,"49,407","50,625","49,395","47,871","49,097","47,511","1,536","1,528","1,884",3.1,3,3.8
South Hadley,"9,504","9,569","9,580","9,098","9,158","9,066",406,411,514,4.3,4.3,5.4
Southampton,"3,622","3,644","3,654","3,491","3,508","3,486",131,136,168,3.6,3.7,4.6
Southborough,"5,286","5,388","5,259","5,110","5,220","5,052",176,168,207,3.3,3.1,3.9
Southbridge,"8,044","8,162","8,070","7,475","7,592","7,382",569,570,688,7.1,7,8.5
Southwick,"5,398","5,466","5,408","5,167","5,230","5,117",231,236,291,4.3,4.3,5.4
Spencer,"5,941","6,061","5,993","5,627","5,726","5,591",314,335,402,5.3,5.5,6.7
Springfield,"62,921","63,715","63,878","57,579","58,009","57,049","5,342","5,706","6,829",8.5,9,10.7
Sterling,"4,194","4,295","4,237","4,030","4,123","4,019",164,172,218,3.9,4,5.1
Stockbridge,934,978,972,901,941,929,33,37,43,3.5,3.8,4.4
Stoneham,"12,435","12,698","12,435","11,943","12,211","11,793",492,487,642,4,3.8,5.2
Stoughton,"15,624","15,982","15,730","14,906","15,250","14,783",718,732,947,4.6,4.6,6
Stow,"3,658","3,792","3,638","3,531","3,668","3,493",127,124,145,3.5,3.3,4
Sturbridge,"4,995","5,078","5,010","4,774","4,845","4,732",221,233,278,4.4,4.6,5.5
Sudbury,"8,896","9,153","8,937","8,596","8,857","8,553",300,296,384,3.4,3.2,4.3
Sunderland,"2,484","2,501","2,480","2,409","2,427","2,389",75,74,91,3,3,3.7
Sutton,"5,199","5,286","5,217","4,992","5,064","4,942",207,222,275,4,4.2,5.3
Swampscott,"8,009","8,164","7,943","7,721","7,885","7,598",288,279,345,3.6,3.4,4.3
Swansea,"9,213","9,347","9,302","8,800","8,928","8,757",413,419,545,4.5,4.5,5.9
Taunton,"29,172","29,609","29,677","27,576","27,958","27,660","1,596","1,651","2,017",5.5,5.6,6.8
Templeton,"4,222","4,314","4,313","4,017","4,101","4,060",205,213,253,4.9,4.9,5.9
