data type,Labor Force,Labor Force,Labor Force,Employment,Employment,Employment,Unemployment,Unemployment,Unemployment,Rate %,Rate %,Rate %
date,9/1/2015,8/1/2015,9/1/2014,9/1/2015,8/1/2015,9/1/2014,9/1/2015,8/1/2015,9/1/2014,9/1/2015,8/1/2015,9/1/2014
Massachusetts,"3,537,000","3,621,900","3,560,200","3,378,100","3,460,000","3,358,700","158,900","161,900","201,500",4.5,4.5,5.7
Abington,"8,860","9,029","8,816","8,411","8,585","8,286",449,444,530,5.1,4.9,6
Acton,"11,984","12,256","12,035","11,591","11,867","11,515",393,389,520,3.3,3.2,4.3
Acushnet,"5,924","5,991","5,938","5,599","5,656","5,561",325,335,377,5.5,5.6,6.3
Adams,"4,226","4,452","4,356","3,977","4,180","4,026",249,272,330,5.9,6.1,7.6
Agawam,"15,701","15,802","15,804","15,004","15,090","14,916",697,712,888,4.4,4.5,5.6
Alford,234,246,245,226,240,235,8,6,10,3.4,2.4,4.1
Amesbury,"9,645","9,938","9,685","9,251","9,543","9,197",394,395,488,4.1,4,5
Amherst,"18,066","18,328","18,197","17,351","17,575","17,232",715,753,965,4,4.1,5.3
Andover,"17,270","17,693","17,336","16,623","17,071","16,512",647,622,824,3.7,3.5,4.8
Aquinnah,195,248,212,188,241,201,7,7,11,3.6,2.8,5.2
Arlington,"25,489","26,030","25,533","24,693","25,248","24,515",796,782,"1,018",3.1,3,4
Ashburnham,"3,495","3,560","3,538","3,332","3,394","3,339",163,166,199,4.7,4.7,5.6
Ashby,"1,785","1,876","1,798","1,721","1,803","1,709",64,73,89,3.6,3.9,4.9
Ashfield,"1,091","1,151","1,106","1,062","1,122","1,065",29,29,41,2.7,2.5,3.7
Ashland,"10,276","10,493","10,300","9,946","10,158","9,872",330,335,428,3.2,3.2,4.2
Athol,"5,472","5,579","5,592","5,126","5,215","5,160",346,364,432,6.3,6.5,7.7
Attleborough,"23,935","24,341","24,194","22,873","23,209","22,749","1,062","1,132","1,445",4.4,4.7,6
Auburn,"9,128","9,308","9,175","8,742","8,912","8,663",386,396,512,4.2,4.3,5.6
Avon,"2,667","2,681","2,661","2,532","2,553","2,514",135,128,147,5.1,4.8,5.5
Ayer,"3,960","4,089","3,986","3,761","3,886","3,746",199,203,240,5,5,6
Barnstable,"23,592","25,628","24,142","22,580","24,611","22,945","1,012","1,017","1,197",4.3,4,5
Barre,"2,853","2,941","2,855","2,698","2,787","2,680",155,154,175,5.4,5.2,6.1
Becket,925,977,941,883,934,892,42,43,49,4.5,4.4,5.2
Bedford,"6,953","7,126","6,954","6,696","6,879","6,650",257,247,304,3.7,3.5,4.4
Belchertown,"8,225","8,287","8,268","7,923","7,965","7,889",302,322,379,3.7,3.9,4.6
Bellingham,"9,823","10,026","9,887","9,415","9,603","9,380",408,423,507,4.2,4.2,5.1
Belmont,"13,145","13,452","13,222","12,711","13,016","12,678",434,436,544,3.3,3.2,4.1
Berkley,"3,552","3,593","3,582","3,359","3,405","3,382",193,188,200,5.4,5.2,5.6
Berlin,"1,721","1,789","1,729","1,658","1,722","1,654",63,67,75,3.7,3.7,4.3
Bernardston,"1,156","1,184","1,187","1,111","1,134","1,133",45,50,54,3.9,4.2,4.5
Beverly,"22,412","22,809","22,576","21,496","21,904","21,406",916,905,"1,170",4.1,4,5.2
Billerica,"22,676","23,188","22,719","21,728","22,213","21,549",948,975,"1,170",4.2,4.2,5.1
Blackstone,"5,150","5,264","5,202","4,916","5,017","4,890",234,247,312,4.5,4.7,6
Blandford,730,741,739,705,711,706,25,30,33,3.4,4,4.5
Bolton,"2,774","2,893","2,795","2,686","2,804","2,669",88,89,126,3.2,3.1,4.5
Boston,"354,632","362,542","354,675","339,377","346,905","335,280","15,255","15,637","19,395",4.3,4.3,5.5
Bourne,"10,496","11,371","10,708","10,005","10,877","10,078",491,494,630,4.7,4.3,5.9
Boxborough,"2,862","2,922","2,879","2,764","2,827","2,750",98,95,129,3.4,3.3,4.5
Boxford,"4,256","4,358","4,271","4,113","4,222","4,091",143,136,180,3.4,3.1,4.2
Boylston,"2,590","2,649","2,592","2,489","2,550","2,467",101,99,125,3.9,3.7,4.8
Braintree,"19,966","20,365","19,966","19,115","19,529","18,896",851,836,"1,070",4.3,4.1,5.4
Brewster,"4,970","5,399","5,144","4,773","5,204","4,907",197,195,237,4,3.6,4.6
Bridgewater,"14,155","14,337","14,242","13,611","13,745","13,505",544,592,737,3.8,4.1,5.2
Brimfield,"2,169","2,214","2,205","2,084","2,125","2,099",85,89,106,3.9,4,4.8
Brockton,"46,819","47,358","47,269","43,819","44,238","43,516","3,000","3,120","3,753",6.4,6.6,7.9
Brookfield,"1,833","1,877","1,840","1,747","1,783","1,728",86,94,112,4.7,5,6.1
Brookline,"32,250","32,936","32,305","31,394","32,104","31,191",856,832,"1,114",2.7,2.5,3.4
Buckland,907,914,938,881,887,901,26,27,37,2.9,3,3.9
Burlington,"14,096","14,370","14,023","13,579","13,877","13,387",517,493,636,3.7,3.4,4.5
Cambridge,"62,759","64,087","62,704","60,874","62,229","60,266","1,885","1,858","2,438",3,2.9,3.9
Canton,"11,501","11,722","11,489","11,042","11,273","10,891",459,449,598,4,3.8,5.2
Carlisle,"2,390","2,461","2,429","2,307","2,375","2,322",83,86,107,3.5,3.5,4.4
Carver,"6,434","6,663","6,436","6,140","6,361","6,051",294,302,385,4.6,4.5,6
Charlemont,613,632,638,580,599,595,33,33,43,5.4,5.2,6.7
Charlton,"7,613","7,758","7,648","7,328","7,455","7,238",285,303,410,3.7,3.9,5.4
Chatham,"2,815","3,087","2,940","2,701","2,981","2,792",114,106,148,4,3.4,5
Chelmsford,"18,401","18,810","18,443","17,679","18,056","17,530",722,754,913,3.9,4,5
Chelsea,"18,803","19,264","18,861","17,938","18,374","17,750",865,890,"1,111",4.6,4.6,5.9
Cheshire,"1,893","1,983","1,937","1,805","1,894","1,837",88,89,100,4.6,4.5,5.2
Chester,715,727,726,687,696,685,28,31,41,3.9,4.3,5.6
Chesterfield,725,737,738,701,713,709,24,24,29,3.3,3.3,3.9
Chicopee,"27,264","27,437","27,557","25,655","25,758","25,482","1,609","1,679","2,075",5.9,6.1,7.5
Chilmark,472,575,499,457,560,481,15,15,18,3.2,2.6,3.6
Clarksburg,842,873,877,799,825,813,43,48,64,5.1,5.5,7.3
Clinton,"8,064","8,220","8,076","7,666","7,794","7,558",398,426,518,4.9,5.2,6.4
Cohasset,"4,043","4,145","4,078","3,898","4,004","3,894",145,141,184,3.6,3.4,4.5
Colrain,924,993,936,882,952,889,42,41,47,4.5,4.1,5
Concord,"8,188","8,450","8,247","7,890","8,153","7,889",298,297,358,3.6,3.5,4.3
Conway,"1,171","1,191","1,190","1,137","1,158","1,150",34,33,40,2.9,2.8,3.4
Cummington,432,458,445,418,444,425,14,14,20,3.2,3.1,4.5
