,Male,Total
Middlesex County,5,28%
Plymouth County,3,17%
Barnstable County,1,6%
Worcester County,1,6%
Suffolk County,1,6%
Norfolk County,1,6%
Hampshire County,1,6%
Hampden County,1,6%
Essex County,1,6%
Bristol County,1,6%
Outside MA,2,11%
Total,18,100%
