,Male,Total
Suffolk County,25,24%
Hampden County,19,18%
Middlesex County,12,12%
Essex County,10,10%
Plymouth County,10,10%
Bristol County,7,7%
Worcester County,7,7%
Norfolk County,4,4%
Franklin County,2,2%
Hampshire County,2,2%
Berkshire County,1,1%
Outside MA,5,5%
Total,104,100%
