,Male,Total
Suffolk County,12,30%
Bristol County,7,18%
Plymouth County,6,15%
Hampden County,4,10%
Middlesex County,3,8%
Norfolk County,3,8%
Barnstable County,1,3%
Essex County,1,3%
Hampshire County,1,3%
Outside MA,2,5%
Total,40,100%
