,Male,Total
Suffolk County,11,22%
Hampden County,8,16%
Worcester County,8,16%
Bristol County,4,8%
Plymouth County,4,8%
Barnstable County,3,6%
Middlesex County,3,6%
Berkshire County,2,4%
Essex County,2,4%
Franklin County,2,4%
Outside MA,3,6%
Total,50,100%
