data type,Labor Force,Labor Force,Labor Force,Employment,Employment,Employment,Unemployment,Unemployment,Unemployment,Rate %,Rate %,Rate %
date,9/1/2015,8/1/2015,9/1/2014,9/1/2015,8/1/2015,9/1/2014,9/1/2015,8/1/2015,9/1/2014,9/1/2015,8/1/2015,9/1/2014
Massachusetts,"3,537,000","3,621,900","3,560,200","3,378,100","3,460,000","3,358,700","158,900","161,900","201,500",4.5,4.5,5.7
Berkshire County WIA,"63,957","67,103","65,929","60,884","63,973","61,960","3,073","3,130","3,969",4.8,4.7,6
Boston WIA,"354,632","362,542","354,675","339,377","346,905","335,280","15,255","15,637","19,395",4.3,4.3,5.5
Bristol County WIA,"187,269","190,545","189,392","177,449","180,420","176,944","9,820","10,125","12,448",5.2,5.3,6.6
Brockton WIA,"128,570","130,268","129,423","122,107","123,621","121,239","6,463","6,647","8,184",5,5.1,6.3
Cape & Islands WIA,"128,184","140,811","131,725","122,444","135,123","124,510","5,740","5,688","7,215",4.5,4,5.5
Central MA WIA,"305,648","311,221","306,703","291,363","296,455","288,421","14,285","14,766","18,282",4.7,4.7,6
Franklin/Hampshire WIA,"131,606","133,858","133,232","126,276","128,317","126,410","5,330","5,541","6,822",4,4.1,5.1
Greater Lowell WIA,"148,129","151,430","149,005","141,181","144,323","140,196","6,948","7,107","8,809",4.7,4.7,5.9
Greater New Bedford WIA,"111,852","114,212","113,180","105,132","107,305","104,793","6,720","6,907","8,387",6,6,7.4
Hampden County WIA,"219,907","221,960","222,228","206,630","207,931","205,235","13,277","14,029","16,993",6,6.3,7.6
Lower Merrimack Valley WIA,"176,360","181,019","177,972","166,986","171,676","166,370","9,374","9,343","11,602",5.3,5.2,6.5
Metro North WIA,"443,600","453,494","444,327","427,296","437,247","423,624","16,304","16,247","20,703",3.7,3.6,4.7
Metro South/West WIA,"498,287","509,836","499,678","480,773","492,236","477,458","17,514","17,600","22,220",3.5,3.5,4.4
North Central WIA,"129,974","132,998","131,799","123,693","126,462","123,758","6,281","6,536","8,041",4.8,4.9,6.1
North Shore WIA,"224,250","229,115","225,344","214,438","219,314","212,890","9,812","9,801","12,454",4.4,4.3,5.5
South Shore WIA,"284,786","291,444","285,582","272,114","278,690","269,600","12,672","12,754","15,982",4.4,4.4,5.6
