County,2011,2012,2013,2014
Barnstable,24,21,29,25
Berkshire,43,34,36,34
Bristol,42,51,43,47
Dukes,6,36,18,18
Essex,42,35,37,33
Franklin,31,48,39,41
Hampden,58,59,48,42
Hampshire,13,18,11,16
Middlesex,20,18,17,14
Nantucket,0,0,29,20
Norfolk,14,13,15,16
Plymouth,25,23,23,31
Suffolk,58,53,57,57
Worcester,31,29,31,32
