,Male,Total
Suffolk County,53,41%
Essex County,15,12%
Hampden County,15,12%
Middlesex County,14,11%
Worcester County,7,5%
Bristol County,5,4%
Plymouth County,4,3%
Berkshire County,3,2%
Norfolk County,3,2%
Barnstable County,2,2%
Franklin County,1,1%
Outside MA,6,5%
Total,128,100%
