Gender,Number of Releases ,1st Year Rec,1st Year Rate ,2nd Year Rec ,2nd Year Rate ,3rd Year Rec ,3rd Year Rate ,Total Rec ,Total Rate
Female,689,135,20%,48,7%,50,7%,233,34%
Male,"1,587",302,19%,162,10%,109,7%,573,36%
Total,"2,276",437,19%,210,9%,159,7%,806,35%
