Supervision Type ,Number Releases - Males,Recidivism Rate - Males,Number Releases - Females,Recidivism Rate - Females,Number Releases - Total ,Recidivism Rate - Total
Parole Only,194,45%,73,33%,267,42%
Probation Only,549,40%,215,38%,764,39%
Both Parole and Probation ,125,46%,36,39%,161,45%
No Supervision ,719,29%,365,31%,"1,084",30%
Total Releases ,"1,587",36%,689,34%,"2,276",35%
