Security Level,Number Releases - Male ,Recidivism Rate - Male ,Number Releases - Females ,Recidivism Rate - Females ,Number Releases - Total ,Recidivism Rate - Total
Maximum,220,51%,n.a5,n.a,220,51%
Medium,813,38%,478,37%,"1,291",38%
Lower,554,28%,211,26%,765,27%
Total Releases,"1,587",36%,689,34%,"2,276",35%
