Year ,Number of Releases,Recidivists ,Rec Rate
2001,2581,1042,40%
2002,2524,1008,40%
2004,2344,1005,43%
2005,2298,1018,44%
2006,2329,964,41%
2007,2536,1079,43%
2008,2718,1072,39%
2009,2758,1122,41%
2010,2725,1076,39%
2011,2276,806,35%
